A_reqA,A_reqB,N_robot,reqAonRobot,reqBonRobot,S_door_opening,S_door_closing,S_reqA_driveToDoor,S_reqA_driveFwd,S_reqA_driveBack,S_reqA_driveAround,S_reqB_driveToDoor,S_reqB_driveFwd,S_reqB_driveBack,S_reqB_driveAround,S_robot_driveToDoor,S_robot_driveFwd,S_robot_driveBack,S_robot_driveAround,S_changePolicyToOpen,probA,probB,Z_robot,comm_same_room,R_robot_choosing_A_mean,R_robot_choosing_A_low,R_robot_choosing_A_up,R_robot_reachDoor_A_mean,R_robot_reachDoor_A_low,R_robot_reachDoor_A_up,R_robot_driveThru_A_mean,R_robot_driveThru_A_low,R_robot_driveThru_A_up,R_robot_driveFwd_A_mean,R_robot_driveFwd_A_low,R_robot_driveFwd_A_up,R_robot_driveBack_A_mean,R_robot_driveBack_A_low,R_robot_driveBack_A_up,R_robot_driveAround_A_mean,R_robot_driveAround_A_low,R_robot_driveAround_A_up,R_robot_communicate_A_mean,R_robot_communicate_A_low,R_robot_communicate_A_up,R_robot_delivered_mean,R_robot_delivered_low,R_robot_delivered_up,R_robot_reachDoor_R_mean,R_robot_reachDoor_R_low,R_robot_reachDoor_R_up,R_robot_driveThru_R_mean,R_robot_driveThru_R_low,R_robot_driveThru_R_up,R_robot_driveFwd_R_mean,R_robot_driveFwd_R_low,R_robot_driveFwd_R_up,R_robot_driveBack_R_mean,R_robot_driveBack_R_low,R_robot_driveBack_R_up,R_robot_driveAround_R_mean,R_robot_driveAround_R_low,R_robot_driveAround_R_up,R_robot_communicate_R_mean,R_robot_communicate_R_low,R_robot_communicate_R_up,X_robot_goFast_A_mean,X_robot_goFast_A_low,X_robot_goFast_A_up,X_robot_success_A_mean,X_robot_success_A_low,X_robot_success_A_up,X_robot_fail_A_mean,X_robot_fail_A_low,X_robot_fail_A_up,X_robotA_follow_A_mean,X_robotA_follow_A_low,X_robotA_follow_A_up,X_robot_follow_A_mean,X_robot_follow_A_low,X_robot_follow_A_up,X_robot_goFast_R_mean,X_robot_goFast_R_low,X_robot_goFast_R_up,X_robot_success_R_mean,X_robot_success_R_low,X_robot_success_R_up,X_robot_fail_R_mean,X_robot_fail_R_low,X_robot_fail_R_up,X_robotR_follow_R_mean,X_robotR_follow_R_low,X_robotR_follow_R_up,X_robot_follow_R_mean,X_robot_follow_R_low,X_robot_follow_R_up,N_robot_avail_mean,N_robot_avail_low,N_robot_avail_up
30,30,10,1,1,5,55,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.5,0.0,0.0,0.0,8.12729316844206,7.987523628643272,8.267062708240848,0.0,0.0,0.0,8.947685722423879,8.754877255422338,9.14049418942542,9.041150494093648,8.820360766086678,9.261940222100618,27.005920227790156,26.238374571617843,27.77346588396247,1.2360775375533406,1.212682184603059,1.259472890503622,0.0,0.0,0.0,0.9884829803239701,0.9718660211086204,1.0050999395393199,0.0,0.0,0.0,1.001092249497417,0.9843170165726759,1.017867482422158,1.0078874280262726,0.98833508585666,1.0274397701958853,2.9965568173713124,2.9424887897970726,3.050624844945552,0.11679585343576258,0.1133469878134644,0.12024471905806076,0.44866189752376734,0.44241295784241014,0.4550898948326009,0.3869187563588546,0.37909668173745736,0.3950704244951866,0.018729090641876896,0.018338597348499436,0.019136575703488427,0.042306338348627466,0.04122293269423195,0.04344822838978775,0.060618270945435086,0.05934834995878677,0.061943727157153065,0.44748434783433394,0.4403438505520525,0.4548602389613463,0.4152236628365892,0.40680625757411565,0.4239967643538229,0.027730365406281758,0.02700847061439412,0.028491910253320995,0.005858425523115368,0.005692217428526549,0.006034631838495162,0.03357597508307628,0.032688678418556265,0.034512785028305785,0.04481536483851261,0.04379546655329218,0.04583526312373304
30,30,10,1,1,5,55,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,8.08622417612462,7.903021966368462,8.269426385880777,0.0,0.0,0.0,8.928752499061162,8.70203168452294,9.155473313599384,8.917212689348524,8.656123559270547,9.178301819426501,27.2378375640779,26.42511193202155,28.05056319613425,0.27428572970490206,0.26813616346524843,0.2804352959445557,0.0,0.0,0.0,0.9718940458132915,0.9529611698754051,0.9908269217511779,0.0,0.0,0.0,0.9999174192842741,0.9830928678291646,1.0167419707393837,1.0044055506470444,0.9886704704069393,1.0201406308871495,2.992255811831361,2.9259025168450443,3.0586091068176775,0.032053517617669565,0.03121133536124389,0.03289569987409524,0.4489808682925879,0.44131082585460224,0.45692223922757047,0.3872753612820857,0.37975052644170776,0.3951044370206743,0.016671777578302738,0.01632544217253228,0.017033126115287723,0.045654817568805725,0.0445372149572313,0.04682995342537804,0.06237592333590409,0.06081937040254599,0.06401424278451791,0.448962485486876,0.44132507828554,0.4568688880627551,0.412405674987755,0.4048943910032805,0.4202009136049198,0.02727520099753366,0.02659551757425439,0.02799053594977313,0.00819264767528144,0.008059412208959294,0.008330362398138603,0.03572537657147213,0.034854948430067215,0.036640392374725106,0.04466785628777792,0.04377202821887764,0.045563684356678194
30,30,10,1,1,5,55,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,1,0.0,0.0,0.0,8.093331038951302,7.947530980576787,8.239131097325817,0.0,0.0,0.0,8.990794483679903,8.824326176332708,9.157262791027097,9.013058881214349,8.850494452027993,9.175623310400704,27.11208142292695,26.61327174573587,27.610891100118028,2.3277513836629167,2.2801367750433186,2.3753659922825148,0.0,0.0,0.0,0.9924992059481952,0.9740646255221761,1.0109337863742143,0.0,0.0,0.0,0.9918174045805732,0.9740817161833961,1.0095530929777503,0.9951638484576723,0.9790801267442563,1.0112475701710884,3.0009601542481903,2.9125589908280567,3.089361317668324,0.17072253325825068,0.16574924931920015,0.1756958171973012,0.44354421617295037,0.43736376359461493,0.4499018462676559,0.3783068952234091,0.3682847521389984,0.3888897630358033,0.020683826971233596,0.020320334216060946,0.02106056099841033,0.04172887609378324,0.04061600763647216,0.04290444722379388,0.06229311833324595,0.06089474086540649,0.06375722955121378,0.4435463903123423,0.43733667861509024,0.4499349844378435,0.4087755912085702,0.3996127992557181,0.41836843440896215,0.02870413898751976,0.027940476895924528,0.029510718528738024,0.0042263088933159375,0.004123781954451293,0.004334063937909867,0.032853834684917524,0.03200792646020204,0.033745668094531736,0.04431866340299606,0.04329864216560871,0.04533868464038341
30,30,10,1,1,5,55,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,8.017294609393563,7.825162063776513,8.209427155010614,0.0,0.0,0.0,9.034755253700684,8.874815876372338,9.19469463102903,8.98397340949,8.820346924289538,9.147599894690462,27.031593522118396,26.48184456891982,27.581342475316973,0.272101363997531,0.2644095446594014,0.27979318333566056,0.0,0.0,0.0,0.987661278184606,0.9668533307032138,1.0084692256659982,0.0,0.0,0.0,1.0012499370679495,0.9792654377240942,1.0232344364118047,0.9937515481330398,0.9781635287318271,1.0093395675342525,3.0181169608300644,2.964303142790245,3.0719307788698837,0.030380332982715186,0.029536501015497606,0.031224164949932767,0.43197154285478495,0.4247411444103007,0.4394523715560764,0.37349135015023877,0.3654902005406478,0.38185065559653764,0.016479078844468233,0.01620132765488632,0.01676651953106512,0.043700751825880915,0.042529750552466765,0.04493806284058272,0.05997893622954924,0.05823891375294922,0.061826135259553265,0.4291398152503805,0.41728271980063464,0.44169045695897213,0.397750246166672,0.38943260212338676,0.406430947082767,0.02619582704492329,0.025530023512300052,0.026897287786533247,0.007767558794401016,0.007631446655467357,0.007908614412327968,0.03409966028263712,0.03330550177901716,0.034932616797371516,0.42536134761612826,0.41376943572807506,0.43695325950418146
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.5,0.0,0.0,0.0,8.58875093399926,8.408026564474927,8.769475303523592,0.0,0.0,0.0,8.99921932438261,8.865047487424034,9.133391161341185,8.966733682705964,8.773798185303601,9.159669180108327,27.0129646157297,26.212437795805776,27.813491435653624,1.5886355794626765,1.5609984411102256,1.6162727178151275,0.0,0.0,0.0,0.9901400566063984,0.9740213778877744,1.0062587353250223,0.0,0.0,0.0,1.0030993494467115,0.9742200679560589,1.0319786309373642,1.001363188955125,0.9732513455423664,1.0294750323678838,2.970359967198991,2.89461389007303,3.0461060443249517,0.1364564236044532,0.13226775241865926,0.14064509479024714,0.4597994689632134,0.44790135631249545,0.472346957905081,0.43325498694263465,0.4265948930421295,0.44012633673740814,0.006398672724073938,0.006268942732293492,0.006533885461437151,0.01925265810897835,0.018941455662667875,0.019574257296703434,0.0260198162161261,0.025289226003105313,0.02679387480938789,0.45826084719898447,0.45037144562356884,0.4664315829349854,0.45031379011827516,0.4375901250340088,0.4637995377317001,0.006814083580810278,0.006649711095305307,0.006986788187617366,0.0016867420875770864,0.0016247805037304104,0.001753616893069523,0.00848946915209926,0.008296653883548081,0.008691459758302812,0.4601395985104163,0.45008779568011364,0.47019140134071896
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,10,0.1,0.0,0.0,0.0,8.589998126977438,8.411325655932,8.768670598022876,0.0,0.0,0.0,9.006253215119274,8.841241511152147,9.171264919086402,9.04994286626326,8.866947869809202,9.232937862717318,27.109046447158423,26.727717371022063,27.490375523294784,0.25358515888940014,0.24938955036095697,0.25778076741784334,0.0,0.0,0.0,0.996227489076796,0.9764037136401238,1.0160512645134683,0.0,0.0,0.0,0.9962862100252121,0.9770125293259406,1.0155598907244836,1.003998976627938,0.9764661146544122,1.0315318386014638,3.007952970970301,2.9602320857310445,3.0556738562095576,0.025700284870548606,0.024941012294322006,0.026459557446775205,0.32591639000458666,0.31701735571216916,0.33532946585722506,0.30935466993849864,0.3039638442278627,0.3149401616104916,0.004370099753456297,0.00429529983303145,0.004447551031877315,0.010899563962699917,0.010615708944052178,0.01119901611854941,0.015365423169787992,0.01492448255347811,0.01583321200153512,0.3283260753885222,0.3193597542777764,0.33781041592668126,0.31881356739095146,0.31414664542846643,0.32362124274664755,0.004782775817904137,0.004688394416791919,0.004881035244109233,0.001195287554970415,0.0011373990274704605,0.0012593846031215435,0.0059897643585048645,0.005830693909346672,0.0061577576171453876,3.2536902820584954,3.197738004989047,3.3096425591279437
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.5,0.0,0.0,0.0,8.658216362541742,8.494582097066152,8.821850628017332,0.0,0.0,0.0,9.03529897558561,8.87287996611536,9.19771798505586,8.992384894683795,8.81067361351958,9.17409617584801,26.84725724564783,26.26441065607871,27.430103835216947,1.6278053100251624,1.601232865388569,1.6543777546617557,0.0,0.0,0.0,0.9878107480913987,0.958205981629879,1.0174155145529185,0.0,0.0,0.0,1.0015400945336799,0.9823509971187822,1.0207291919485775,0.9935555341687202,0.9732994524241849,1.0138116159132555,3.0216268279359197,2.967193533646185,3.0760601222256545,0.13865143002655247,0.13387233352690175,0.1434305265262032,0.48239989414010354,0.4708804182603857,0.49449712190205886,0.45196386048801873,0.4436734506467456,0.4605699964320317,0.0065763860213073596,0.0064684838382999274,0.006687949152865961,0.02016372433761045,0.01965863998771181,0.020695447104452303,0.026663892281151423,0.026005019642186017,0.02735701968509725,0.47910517603293434,0.4738744528601862,0.4844526636609678,0.4707107844352232,0.46364274197631355,0.47799766172774816,0.007077224377927243,0.006912891649975206,0.007249560368735305,0.001771656294382648,0.0017093937129165294,0.0018386260044759954,0.008811361283369928,0.008628768878175607,0.009001848381871048,0.04829448972397938,0.04689930952246659,0.04968966992549217
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,8.616271436062894,8.374735773280554,8.857807098845234,0.0,0.0,0.0,8.970876377868574,8.8101385360978,9.13161421963935,8.985924484903625,8.749608447111743,9.222240522695508,27.080785417108448,26.340461586871886,27.82110924734501,0.353872526240198,0.34949695645973683,0.35824809602065916,0.0,0.0,0.0,0.9942225274383746,0.9741981059004493,1.0142469489763,0.0,0.0,0.0,1.0039693483119765,0.9852382235502007,1.0227004730737523,1.0027116972267922,0.9830708188814933,1.0223525755720912,3.027931029995569,2.97104643791797,3.0848156220731675,0.037420819584888534,0.03610031931050264,0.038741319859274426,0.4781986747863925,0.47071165212902266,0.4859277204481778,0.45298451186366384,0.4449469239731232,0.4613178261842113,0.005856193612577219,0.005752716404945866,0.005963461607649215,0.02045600927521772,0.019886010907216926,0.021059647934025327,0.026195466486923214,0.025614580038132526,0.02680331092856337,0.4787589850051273,0.471163506335032,0.4866033647761827,0.4695502719481823,0.4614957936069564,0.47789089369612997,0.006861940109748404,0.0067006919954314985,0.00703114026244761,0.0024850461909469114,0.002362003716647048,0.0026216123030797928,0.009323391119792837,0.00910517706121262,0.009552321409631798,0.047365905809011795,0.046034661858074914,0.048697149759948676
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,10,0.5,0.0,0.0,0.0,8.736072036038328,8.549944912015189,8.922199160061467,0.0,0.0,0.0,9.019213403819581,8.875256566307879,9.163170241331283,8.992034937161804,8.81696984759319,9.167100026730418,26.79860132839341,26.069499062636357,27.527703594150463,1.2019846854120788,1.1797211521057576,1.2242482187184,0.0,0.0,0.0,0.9949869797245651,0.9773398812992313,1.0126340781498988,0.0,0.0,0.0,0.9896075922857788,0.9679767202947726,1.0112384642767849,1.0043683246607922,0.9852678360341531,1.0234688132874312,2.9563843550004703,2.8898332477543103,3.0229354622466302,0.09540882672561878,0.09204386950210791,0.09877378394912964,0.32607863633543527,0.318079062486,0.3344909635859675,0.3085010870117023,0.3022225059925831,0.31504607376709187,0.004749874847968923,0.0046648832393442205,0.004838020930157219,0.010914718163271043,0.010653348090342421,0.01118923574573216,0.015687453791890214,0.015234260001898899,0.016168437811401138,0.3241829895883639,0.31992895478079775,0.3285516791309056,0.3179019250845405,0.3131311453274386,0.32282032653387055,0.004844562618594442,0.004732846552932837,0.0049616801674477835,8.613547072951585E-4,7.404011192763202E-4,0.0010295431932396766,0.005741457276579945,0.005643526042233556,0.005842847301910112,3.286207505541136,3.189926534988259,3.3824884760940135
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,8.565984721223089,8.313667867752782,8.818301574693395,0.0,0.0,0.0,9.039018424207944,8.87015398708704,9.207882861328848,9.003959003096114,8.841366810612385,9.166551195579842,27.00444083316009,26.55687046113961,27.45201120518057,0.3456381883809315,0.3403068243545208,0.35096955240734223,0.0,0.0,0.0,0.9941124127893074,0.9762928606899214,1.0119319648886935,0.0,0.0,0.0,1.0034680640234714,0.9856074711014272,1.0213286569455158,1.0030242915144776,0.9812936337264464,1.0247549493025088,2.987502360863922,2.932201027918094,3.04280369380975,0.03623382708007604,0.035357812650739326,0.03710984150941275,0.45942809749540253,0.4513879609897714,0.46775985061200676,0.4315859179594498,0.42392841914174356,0.4395251433416613,0.005733945224118003,0.005614595221684626,0.00585847949859476,0.019238083623063472,0.01877457270605295,0.019725060396141008,0.024891777871796333,0.02418491759998504,0.025641201413377442,0.45909272503432275,0.4521347288061563,0.4662682245952928,0.44938738334091227,0.4420132151460501,0.457011774597635,0.006504522241974934,0.006391821858152153,0.006621268216113407,0.0022955595748798082,0.002208354503091143,0.0023899350274379193,0.008787582855057518,0.008630326346663095,0.00895067658889784,0.462427313656188,0.4488795430711843,0.4759750842411917
