A_reqA,A_reqB,N_robot,reqAonRobot,reqBonRobot,S_door_opening,S_door_closing,S_reqA_driveToDoor,S_reqA_driveFwd,S_reqA_driveBack,S_reqA_driveAround,S_reqB_driveToDoor,S_reqB_driveFwd,S_reqB_driveBack,S_reqB_driveAround,S_robot_driveToDoor,S_robot_driveFwd,S_robot_driveBack,S_robot_driveAround,S_changePolicyToOpen,probA,probB,Z_robot,comm_same_room,R_robot_choosing_A_mean,R_robot_choosing_A_low,R_robot_choosing_A_up,R_robot_reachDoor_A_mean,R_robot_reachDoor_A_low,R_robot_reachDoor_A_up,R_robot_driveThru_A_mean,R_robot_driveThru_A_low,R_robot_driveThru_A_up,R_robot_driveFwd_A_mean,R_robot_driveFwd_A_low,R_robot_driveFwd_A_up,R_robot_driveBack_A_mean,R_robot_driveBack_A_low,R_robot_driveBack_A_up,R_robot_driveAround_A_mean,R_robot_driveAround_A_low,R_robot_driveAround_A_up,R_robot_delivered_mean,R_robot_delivered_low,R_robot_delivered_up,R_robot_reachDoor_R_mean,R_robot_reachDoor_R_low,R_robot_reachDoor_R_up,R_robot_driveThru_R_mean,R_robot_driveThru_R_low,R_robot_driveThru_R_up,R_robot_driveFwd_R_mean,R_robot_driveFwd_R_low,R_robot_driveFwd_R_up,R_robot_driveBack_R_mean,R_robot_driveBack_R_low,R_robot_driveBack_R_up,R_robot_driveAround_R_mean,R_robot_driveAround_R_low,R_robot_driveAround_R_up,X_robot_goFast_A_mean,X_robot_goFast_A_low,X_robot_goFast_A_up,X_robot_success_A_mean,X_robot_success_A_low,X_robot_success_A_up,X_robot_fail_A_mean,X_robot_fail_A_low,X_robot_fail_A_up,X_robot_goFast_R_mean,X_robot_goFast_R_low,X_robot_goFast_R_up,X_robot_success_R_mean,X_robot_success_R_low,X_robot_success_R_up,X_robot_fail_R_mean,X_robot_fail_R_low,X_robot_fail_R_up,N_robot_avail_mean,N_robot_avail_low,N_robot_avail_up
30,30,10,1,1,15,45,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,8.940127226201291,8.701229688331749,9.179024764070833,0.0,0.0,0.0,8.969027765801219,8.804567818979223,9.133487712623214,8.933362271557431,8.75286172599443,9.113862817120433,27.216512671892158,26.501435138247697,27.93159020553662,0.0,0.0,0.0,0.9963899595592105,0.9711810554941598,1.0215988636242612,0.0,0.0,0.0,0.99996564132114,0.9814807723629483,1.0184505102793318,0.9962104663965288,0.9757494810632165,1.016671451729841,2.988754082048954,2.9099478310793643,3.0675603330185437,0.3734637610824679,0.36500163356529497,0.3823275697648536,0.2977653957362732,0.28919679094773226,0.30685726220445564,0.07348391009846535,0.07179928329949957,0.07524948908613001,0.37179369665471335,0.36195619507728904,0.3821808790021298,0.3096004902499247,0.30125283245993406,0.3184239565718561,0.062456685578005634,0.060759009186333084,0.06425195899278846,0.37890306396036527,0.36844855898081574,0.3893575689399148
30,30,10,1,1,10,50,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,8.941190089829375,8.743119215187013,9.139260964471736,0.0,0.0,0.0,9.045546066801437,8.845111262909603,9.245980870693272,9.068072378830399,8.866152209085048,9.26999254857575,27.089652844958042,26.47076902172607,27.708536668190014,0.0,0.0,0.0,0.9859424925377667,0.9620616022928251,1.0098233827827081,0.0,0.0,0.0,0.9987095262009296,0.9817218324073058,1.0156972199945533,1.0006639983956451,0.9794373028351707,1.0218906939561196,2.997243857069391,2.932997533776857,3.0614901803619254,0.4154498430507104,0.409850972560442,0.42120380166844323,0.3574273302759814,0.3481858045988846,0.36717280779502764,0.0550985031323209,0.05395353529866837,0.056293120157497795,0.4154481895420957,0.4098400086633096,0.42121198257513276,0.3674367169826418,0.35924129421580475,0.3760147960333996,0.04797518449936557,0.04702332259370888,0.0489663783938027,0.04159356015171187,0.04038388225216062,0.04280323805126311
30,30,10,1,1,15,45,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,10,0.1,0.0,0.0,0.0,9.042792513204196,8.809951672102596,9.275633354305796,0.0,0.0,0.0,8.894902538443805,8.663066786715532,9.126738290172078,8.96718802608981,8.705073341502256,9.229302710677363,27.048194642893908,26.4365247856318,27.659864500156015,0.0,0.0,0.0,0.9815136339159798,0.9538978437829488,1.0091294240490107,0.0,0.0,0.0,1.0003986213644542,0.9806499741541334,1.020147268574775,0.9979945574770339,0.9804129571476977,1.0155761578063702,3.0093569550717754,2.9395547736472927,3.079159136496258,0.2747160035175736,0.2683371742001728,0.2814054888171592,0.21311491734823676,0.20941540298527972,0.21694749296001986,0.06019351443013727,0.05855951402776528,0.06192132012805816,0.2796299703127131,0.2724831753311356,0.28716176096236606,0.22648758581290207,0.22075185766087183,0.23252932428619655,0.0478488358955791,0.04669914389655545,0.04905656554983481,2.747543496961303,2.6753949026806016,2.8196920912420045
30,30,10,1,1,15,45,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,9.001127166158673,8.853490535408607,9.148763796908739,0.0,0.0,0.0,8.985489978475332,8.738534698270401,9.232445258680263,8.96498823265094,8.814645907706359,9.115330557595522,27.001646906251693,26.57777034460704,27.425523467896348,0.0,0.0,0.0,0.9937509566698568,0.9733539976914917,1.014147915648222,0.0,0.0,0.0,1.0087938870458162,0.9906134335718026,1.0269743405198297,0.9924926138649837,0.9731552469726776,1.0118299807572897,2.9919703592852573,2.940091137025713,3.043849581544802,0.38547574829640857,0.3758033862345244,0.39565915466581947,0.31660510374171197,0.3078991280600483,0.3258177354879761,0.0754767422579778,0.0740800751812691,0.07692708537916575,0.3876447429783041,0.37859701873459956,0.39713550048014484,0.3247083595251337,0.3196591389390985,0.3299196514702659,0.06557261721592761,0.06404610377472876,0.06717367507668293,0.03833706243149431,0.037260731765326516,0.039413393097662106
30,30,10,1,1,10,50,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,10,0.1,0.0,0.0,0.0,8.949368332421601,8.734047763477474,9.164688901365729,0.0,0.0,0.0,9.012045340146681,8.839770025622862,9.1843206546705,8.924068014286664,8.789302505554872,9.058833523018457,27.259078285391862,26.716569651139526,27.801586919644198,0.0,0.0,0.0,0.9982342345301701,0.9803535938816275,1.0161148751787128,0.0,0.0,0.0,1.0019381201984077,0.9732291492157076,1.0306470911811076,1.006362602299556,0.988239257525482,1.0244859470736298,2.995231511336613,2.9428910538300497,3.0475719688431764,0.29086625968595775,0.28472347628658295,0.2972799433225354,0.24713934169041687,0.24050993488220418,0.2541445731556944,0.0444599815832006,0.043383419368421744,0.04559133331817854,0.2909248920198488,0.28505124064506626,0.2970456963309588,0.25645597956700933,0.2509575611718892,0.2622007330915183,0.03450777810960109,0.03355287319909966,0.03551862781887201,2.9274322774563952,2.8488138605943654,3.006050694318425
30,30,10,1,1,20,40,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,9.027826948878529,8.862935879262652,9.192718018494405,0.0,0.0,0.0,9.00244066285608,8.81396868409393,9.190912641618228,8.965582137031308,8.75002314221927,9.181141131843347,26.986548623125184,26.41777390457628,27.55532334167409,0.0,0.0,0.0,0.9919302540815521,0.9729754355559119,1.0108850726071923,0.0,0.0,0.0,0.9976371874595865,0.9678469155772598,1.0274274593419133,1.001842592977032,0.9812128608062872,1.022472325147777,3.008835769243898,2.950003682087936,3.0676678563998596,0.3437543981160709,0.3355074424418868,0.35241699992317926,0.25271170817281885,0.24618420164478663,0.25959479284526926,0.09241128967733458,0.09001157272837143,0.09494246466662597,0.34066263014505915,0.3335980814321319,0.3480328616961422,0.2647862338905764,0.25809960603144905,0.27182853942753477,0.08026244899623784,0.07796794321679745,0.0826960988915047,0.3437550754063517,0.3348942262316611,0.3526159245810423
30,30,10,1,1,10,50,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,8.980099829247283,8.823718137311195,9.136481521183372,0.0,0.0,0.0,9.053153690335588,8.902457241006253,9.203850139664922,8.97862037845966,8.769633396814363,9.187607360104955,26.937683934695194,26.445059589457653,27.430308279932735,0.0,0.0,0.0,1.0079870334235457,0.9811290865665498,1.0348449802805415,0.0,0.0,0.0,0.9974552108833381,0.9777936890352579,1.0171167327314183,0.9943880040579052,0.9756616998383736,1.0131143082774368,2.9990473260745802,2.91072772422785,3.0873669279213103,0.40342804741483707,0.39500563935750865,0.412217449959979,0.3466694554965572,0.3392321916312631,0.3544401355124503,0.0551182755671782,0.05384230303374159,0.05645619291930727,0.40317296152066145,0.392848690904734,0.41405453283739346,0.3536564925732129,0.34366086452477784,0.36425099979250675,0.04645453961347538,0.04545230679123331,0.0475019678894159,0.4044560043851165,0.39271026530771014,0.4162017434625228
30,30,10,1,1,20,40,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,0.1,0.1,0.0,0.0,0.0,8.978025511712321,8.85315419452767,9.102896828896972,0.0,0.0,0.0,8.974212571310078,8.714547816371113,9.233877326249043,8.966643170098672,8.768339867705276,9.164946472492069,26.924935137565047,26.33808385020258,27.511786424927514,0.0,0.0,0.0,0.9992274314414245,0.9827549720052253,1.0156998908776236,0.0,0.0,0.0,1.0031288514621162,0.9853915569200056,1.0208661460042268,0.9968361522609898,0.9811538894581608,1.0125184150638187,2.982130273597733,2.91377170572376,3.050488841471706,0.3608026941630907,0.35427439502039676,0.36757610714143496,0.2638003353630099,0.2563647964129743,0.2716800747259739,0.09265741855051844,0.09041290662035234,0.0950162080247492,0.3601039058988904,0.3527228126269916,0.36780051585953566,0.27571185194839226,0.26996834234240763,0.2817050572567256,0.08249579760590976,0.08026656346990022,0.08485239347701631,0.03622751146203854,0.03521922615219832,0.037235796771878764
30,30,10,1,1,20,40,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,10,0.1,0.0,0.0,0.0,9.030908936906485,8.884344298238128,9.177473575574842,0.0,0.0,0.0,9.030628368336295,8.897820806472566,9.163435930200023,9.008393886200771,8.85387932869035,9.162908443711192,27.28645658587527,26.77656093538447,27.796352236366072,0.0,0.0,0.0,1.0000822449628413,0.9799729407792076,1.0201915491464748,0.0,0.0,0.0,0.9919782698166226,0.9708277608724452,1.0131287787608,1.0010477640612436,0.9790336463941799,1.0230618817283073,3.0179285331038255,2.9609512448263575,3.0749058213812934,0.25895186869100273,0.25457094347960507,0.26348621733504335,0.1804231206843601,0.17594283829319013,0.18513754084629905,0.07651278765146667,0.07450794464026704,0.07862850579515704,0.25889432696574055,0.25446807141872396,0.26347729020662186,0.19763795085559926,0.19259347254899392,0.20295379037625538,0.06189664287453039,0.060667795577579495,0.0631763008174602,2.602937266192666,2.5416605206330396,2.6642140117522923
30,30,10,1,1,25,35,9,9,9,27,9,9,9,27,1,1,1,3,1,0.1,0.9,1,0.1,0.0,0.0,0.0,8.831072010712404,8.567573303495246,9.094570717929562,0.0,0.0,0.0,8.990087708775082,8.843317872836831,9.136857544713333,9.054823646946145,8.930946705350463,9.178700588541828,27.142231954204604,26.71448168453879,27.56998222387042,0.0,0.0,0.0,0.9999918776236605,0.980589546841498,1.019394208405823,0.0,0.0,0.0,0.9867134166707623,0.9572193442463207,1.016207489095204,1.001303741735125,0.9800526931019876,1.0225547903682624,3.0047605474700387,2.9505337531710034,3.058987341769074,0.32331698833055006,0.3160601254496165,0.33091492311878556,0.21549850150913977,0.21016228801579356,0.22111275747840572,0.10868513497817117,0.10582425262273835,0.11170499907303963,0.32330870851423515,0.31608115904467426,0.3308745248501397,0.2265812383207841,0.22180581616947362,0.23156681220523223,0.09653525564109786,0.09380478640970481,0.09942944747738262,0.3240571708807235,0.3174291236783279,0.3306852180831191
