A_reqA,A_reqB,N_robot,reqAonRobot,reqBonRobot,S_door_opening,S_door_closing,S_reqA_driveToDoor,S_reqA_driveFwd,S_reqA_driveBack,S_reqA_driveAround,S_reqB_driveToDoor,S_reqB_driveFwd,S_reqB_driveBack,S_reqB_driveAround,S_robot_driveToDoor,S_robot_driveFwd,S_robot_driveBack,S_robot_driveAround,S_changePolicyToOpen,probA,probB,Z_robot,comm_same_room,R_robot_choosing_mean,R_robot_choosing_low,R_robot_choosing_up,R_robot_reachDoor_A_mean,R_robot_reachDoor_A_low,R_robot_reachDoor_A_up,R_robot_driveThru_A_mean,R_robot_driveThru_A_low,R_robot_driveThru_A_up,R_robot_driveFwd_A_mean,R_robot_driveFwd_A_low,R_robot_driveFwd_A_up,R_robot_driveBack_A_mean,R_robot_driveBack_A_low,R_robot_driveBack_A_up,R_robot_driveAround_A_mean,R_robot_driveAround_A_low,R_robot_driveAround_A_up,R_robot_delivered_mean,R_robot_delivered_low,R_robot_delivered_up,R_robot_reachDoor_R_mean,R_robot_reachDoor_R_low,R_robot_reachDoor_R_up,R_robot_driveThru_R_mean,R_robot_driveThru_R_low,R_robot_driveThru_R_up,R_robot_driveFwd_R_mean,R_robot_driveFwd_R_low,R_robot_driveFwd_R_up,R_robot_driveBack_R_mean,R_robot_driveBack_R_low,R_robot_driveBack_R_up,R_robot_driveAround_R_mean,R_robot_driveAround_R_low,R_robot_driveAround_R_up,X_robot_goFast_A_mean,X_robot_goFast_A_low,X_robot_goFast_A_up,X_robot_goSlow_A_mean,X_robot_goSlow_A_low,X_robot_goSlow_A_up,X_robot_success_A_mean,X_robot_success_A_low,X_robot_success_A_up,X_robot_fail_A_mean,X_robot_fail_A_low,X_robot_fail_A_up,X_robot_goFast_R_mean,X_robot_goFast_R_low,X_robot_goFast_R_up,X_robot_goSlow_R_mean,X_robot_goSlow_R_low,X_robot_goSlow_R_up,X_robot_success_R_mean,X_robot_success_R_low,X_robot_success_R_up,X_robot_fail_R_mean,X_robot_fail_R_low,X_robot_fail_R_up,N_robot_avail_mean,N_robot_avail_low,N_robot_avail_up
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,0.1,0.1,0.0,0.0,0.0,9.046933457012363,8.786895367128917,9.30697154689581,0.0014083772062178767,0.0013531419383087388,0.0014636124741270145,9.042109598805148,8.879078971558679,9.205140226051617,9.036924063010732,8.887729537635401,9.186118588386062,26.925006837591994,26.41729011657276,27.432723558611226,0.0,0.0,0.0,0.9943298711512735,0.9763365866205433,1.0123231556820036,0.0011661499207626588,0.0011104401744322819,0.0012218596670930358,1.0001017712679117,0.9811133669352026,1.0190901756006208,1.0050791364849365,0.9762481749863371,1.0339100979835358,2.988789429698739,2.903090247132455,3.074488612265023,0.4683002236525692,0.4574960352150718,0.47962705645277454,0.011798032399170072,0.011374199990077721,0.012254673553661792,0.46089011657426643,0.45327682656080315,0.4687635229314546,0.006701157383577199,0.006421938276061926,0.007005760464496571,0.46701540847198497,0.4606972550552953,0.4735092700691471,0.011719609588903522,0.011351230438651931,0.012112700573045357,0.4659556924124272,0.45266783524532067,0.48004726006659637,0.005561349525988466,0.005461793765364073,0.005664602007819466,0.04782573424732519,0.046848772945540344,0.048802695549110035
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,10,0.1,0.9,1,1,0.0,0.0,0.0,8.97138641653779,8.822880503391572,9.119892329684008,0.007919296797825843,0.007604647000059031,0.008233946595592654,8.98655408473483,8.807317291367712,9.16579087810195,9.074710395077057,8.70203311166437,9.447387678489743,26.876035416894435,26.33244892323468,27.41962191055419,0.0,0.0,0.0,0.998035768714713,0.9788804349016257,1.0171911025278004,0.00698060040981714,0.0066794477301649925,0.007281753089469288,0.9994672903234156,0.9814344181785882,1.017500162468243,0.9943807463270411,0.9575829352477476,1.0311785574063346,2.9705686639872866,2.9270462495113456,3.0140910784632275,0.4650944998725124,0.4583691106796127,0.47202018349061553,0.004959650013050501,0.004828561249540469,0.005098055163817592,0.4618207550805873,0.45177688821692646,0.47232136507504646,0.0036660242501430212,0.003512076003620733,0.003834087541905736,0.4641088804215548,0.4513935890784265,0.47756128884923144,0.00506712926565525,0.00486863422362482,0.005282497587122807,0.4627264912952957,0.45513302858718097,0.47057763256546686,0.003226671521631754,0.003097879827237045,0.003366636545885944,0.4672730452901456,0.45888803119566396,0.4756580593846273
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,1,0.1,0.0,0.0,0.0,8.965697346438771,8.789618401160366,9.141776291717177,0.0014347848993360754,0.0013710907760620503,0.0014984790226101005,8.91698119705527,8.757428890120535,9.076533503990005,8.986713092187257,8.812597252907473,9.16082893146704,27.000100802272406,26.448706411903117,27.551495192641696,0.0,0.0,0.0,1.0085660296091097,0.9890873744650831,1.0280446847531364,0.0011834824950884995,0.0011366610752415807,0.0012303039149354183,0.9948882876412842,0.9666633725282374,1.023113202754331,1.0073145230521114,0.9851891668231783,1.0294398792810446,2.9942221809453278,2.946541715339046,3.0419026465516095,0.4404739652220387,0.4287455872378887,0.4528620514728343,0.022225083406796672,0.021597158799620455,0.022890614471955933,0.43349518827802813,0.42154145742964755,0.44614665332068354,0.006251768726752675,0.006126501540567361,0.006382265459730583,0.44040300175279035,0.42807819539330527,0.4534585338540514,0.02179119176203009,0.021091296701013278,0.02253913188685212,0.4393493369578877,0.42821011540048115,0.45108357609497546,0.005131104114476602,0.005008199425158209,0.005260192898500943,0.46107226198465967,0.4494863839505682,0.4726581400187511
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,1,0.5,0.0,0.0,0.0,9.012686159205428,8.786551687402207,9.238820631008648,0.00550646167957941,0.0052640101440491645,0.005748913215109655,8.923446523982825,8.780815708447088,9.066077339518563,8.97020311627953,8.582182080521596,9.358224152037463,26.925541242070842,26.445704897811375,27.40537758633031,0.0,0.0,0.0,0.9999292310194653,0.9787049249014125,1.021153537137518,0.004587760066505383,0.004390085622153312,0.004785434510857455,1.0025251581347698,0.9860314146165564,1.0190189016529834,0.9902543998749329,0.9500413553627183,1.0304674443871475,3.027513806910661,2.9628338484778367,3.092193765343485,0.45135784839677723,0.44259475165141193,0.46047496202265475,0.013779139066728797,0.01309085941543235,0.014543810708626849,0.44608371828267707,0.43766058460924834,0.45483743439119273,0.00475151043060861,0.0046543879102039065,0.004852772619504367,0.4508413823101075,0.44350432003312384,0.4584252878881371,0.0137104146035636,0.012961623351537608,0.014551025399908567,0.4467807996472652,0.43921466682575844,0.45461217773830465,0.004085149287259546,0.003935563539607844,0.004246555440169862,0.4580968790218336,0.44612499278837614,0.47006876525529107
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,1,1,0.0,0.0,0.0,9.018655526735364,8.82490315297996,9.212407900490767,0.008135782766654649,0.007812062144988124,0.008459503388321174,8.891089870926226,8.640334975438078,9.141844766414374,9.074454724223653,8.768623060256914,9.380286388190392,27.152637649612,26.544401842740694,27.760873456483306,0.0,0.0,0.0,1.0016772091507826,0.9797631676537933,1.023591250647772,0.00704115884388316,0.006747031825672462,0.007335285862093858,0.9961659263601977,0.9679416920553167,1.0243901606650787,1.0098028245022541,0.967545862464538,1.0520597865399701,3.0040157800517937,2.9516925423152593,3.056339017788328,0.460845402857837,0.45273713343064237,0.4692493977245004,0.008980520806338918,0.00844880185710734,0.009583661273890248,0.4574255038151149,0.44930368606695803,0.465846354358004,0.0036905271295421703,0.003566868428857845,0.0038230679346942047,0.45606549928194845,0.447057399197214,0.46544408674014065,0.008990682678945261,0.008486171418727973,0.009558973054442125,0.4528997749513414,0.4445058383190396,0.4616168312779904,0.0032562931737983463,0.003133752223737792,0.003388807707959764,0.4665996212953153,0.4527008285085572,0.4804984140820734
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,10,0.5,0.0,0.0,0.0,9.038541600465114,8.7900111835277,9.28707201740253,0.005312917994376219,0.00513820611461577,0.0054876298741366675,9.016409276246302,8.838868574575136,9.193949977917468,9.032459738781123,8.715196417710892,9.349723059851353,27.161172655461186,26.632887229581193,27.68945808134118,0.0,0.0,0.0,1.0031179000671697,0.9732948102267902,1.0329409899075492,0.004706296656936136,0.004524381152054255,0.004888212161818018,0.99842067742203,0.9834455668073178,1.0133957880367421,1.0047599507256038,0.9734715106630296,1.036048390788178,3.0048262816996893,2.9401104267680718,3.069542136631307,0.31268672100907446,0.30455322603255897,0.3212665677874577,0.015095052983495531,0.01462194212760748,0.015599803750505643,0.3137386601817314,0.30731176359399626,0.32044011361348745,0.0033117147771172415,0.003223892823195118,0.0034044554308469924,0.31738423291225687,0.3101267634602856,0.3249895148621491,0.013765487478363526,0.013174684660283553,0.014411765701287273,0.3110163833435299,0.3033865391306902,0.3190398925094376,0.002908599802150099,0.0027949691114557964,0.0030318614545817844,3.2400917182076,3.1704883330439824,3.309695103371218
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,10,1,0.0,0.0,0.0,9.015597892551224,8.80046958210867,9.230726202993777,0.00818198133018246,0.007809648138429278,0.008554314521935643,9.142290027793381,8.93618640649505,9.348393649091712,8.886258109471951,8.662198864479686,9.110317354464216,26.925941857247878,26.358735714763643,27.493147999732113,0.0,0.0,0.0,1.0025045353017292,0.9850870524529077,1.0199220181505506,0.007317619687998613,0.006941027590450969,0.007694211785546257,1.0049214499876487,0.9886239440475252,1.0212189559277722,0.9928798779584758,0.9512112359940479,1.0345485199229036,2.9993597814285193,2.9403246953128486,3.05839486754419,0.31530528385850365,0.3097704469037907,0.3210415069699547,0.00999706149554898,0.009563704776327257,0.010471555320370628,0.31321227873313284,0.3077115795832368,0.318913220118479,0.002586673780033804,0.0025245596173747724,0.0026519215505422552,0.31629825462333566,0.3103084897730917,0.32252380702145605,0.009397223901842826,0.008976926070203381,0.009858811424317424,0.31419486458534357,0.3075665578836351,0.32111515444013655,0.002331644900515061,0.002274246571567845,0.0023920155286955686,3.240533690659463,3.183599350337266,3.29746803098166
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,120,0.1,0.9,0.1,0.1,0.0,0.0,0.0,8.963152759879144,8.781241916864493,9.145063602893794,0.0013872574501674938,0.00133253722853666,0.0014419776717983276,9.120909271956409,8.952394318921751,9.289424224991066,9.066312771374367,8.921784648345533,9.210840894403201,27.5801909533807,26.93731457201363,28.22306733474777,0.0,0.0,0.0,1.0012162836005685,0.9831107265011173,1.0193218407000195,0.0011924566910173561,0.0011415630588060114,0.0012433503232287008,1.004843816999397,0.9877481714373874,1.0219394625614067,1.0008894362971137,0.9816010512795355,1.020177821314692,3.01671112842202,2.957851080244209,3.0755711765998313,0.43571359070165994,0.4273441750872536,0.44441738024262356,0.030070340780963073,0.028526224410463687,0.031791188736860654,0.42909817348954504,0.4214376861146493,0.43704230658972315,0.006157785004339772,0.00598377966506307,0.006342213419074815,0.44016979333512496,0.4297946872997768,0.4510581935992271,0.030033792750924028,0.02839327302908856,0.0318755108262016,0.4314800595303624,0.4221608481397089,0.44122000222916385,0.005196514623457578,0.005085459216585231,0.005312528736485426,0.04668134815913934,0.045525640254679874,0.0478370560635988
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,60,0.1,0.9,10,0.1,0.0,0.0,0.0,9.007932891615845,8.829963445141901,9.185902338089788,0.001473980537423059,0.0014044842316387016,0.0015434768432074162,9.047853576901113,8.788067189715104,9.307639964087123,8.998689327170554,8.824414263884712,9.172964390456396,27.150087497346377,26.4421738569517,27.858001137741052,0.0,0.0,0.0,1.006151028088271,0.9886463285899272,1.023655727586615,0.0012387752910948922,0.001183562389827069,0.0012939881923627154,0.9954807601522426,0.9727999816811981,1.0181615386232872,0.9905307375633103,0.9610757747948242,1.0199857003317965,3.0054475385319166,2.9542894877215584,3.0566055893422748,0.3022220625163028,0.29454106528354274,0.3103143942292542,0.022947732541223093,0.02228516259559957,0.02365090806453566,0.293114778854801,0.2852040759941484,0.3014768392004332,0.0043992528703818215,0.004305896166044768,0.004496747446576885,0.30141359445688876,0.2944609489348855,0.3087025035175851,0.021444449095460075,0.02076630259590733,0.022168382044764578,0.29875514264792546,0.29036641924537887,0.3076429883666119,0.003733885133140706,0.0036563512405046006,0.0038147785179905662,3.2242293188718536,3.157907781435629,3.2905508563080783
30,30,10,1,1,1,59,9,9,9,27,9,9,9,27,1,1,1,3,120,0.1,0.9,0.1,0.5,0.0,0.0,0.0,9.12868261284412,8.960280645032391,9.297084580655849,0.005240398006260117,0.005036068282839614,0.00544472772968062,8.970214605711101,8.807343868164352,9.13308534325785,9.02157186912102,8.83908372691947,9.20406001132257,27.049256057863115,26.27468085405195,27.82383126167428,0.0,0.0,0.0,0.9976260491907054,0.9768843456392482,1.0183677527421626,0.0045593638371931875,0.004372579143986984,0.004746148530399391,0.9959210141148476,0.9771804603877708,1.0146615678419242,0.9825737205429288,0.9548492883295364,1.0102981527563213,2.9945558302523647,2.9160091726996926,3.073102487805037,0.463139712905689,0.4530236452934501,0.47371788516048635,0.019647511318803792,0.018386924055942038,0.021093670110065167,0.45834674861251745,0.44771112801174884,0.46949997508982455,0.004878879180462012,0.004619597589842628,0.005168996583552829,0.4635451049530667,0.4535878128491151,0.47394938012696985,0.019301271721867987,0.018159358029912344,0.020596436025840305,0.45907539726072977,0.4484474727159307,0.4702193005031533,0.004188793717092489,0.00402535460076011,0.004366066561716035,0.04809823656245627,0.04676034848764702,0.04943612463726552
